References,ID,Phylum,Class,Order,Family,Genus,Species,Habitat,t_min,t_max,t_opt,max_growth,Longitude,Latitude,Cell_Volume_um3,Thermal_breadth_C,Environmental_annual_mean_temperature_C,Environmental_lowest_temperature_C,Environmental_highest_temperature_C,Environmental_temperature_range_C
Ryther (1954),231,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Stichococcus,Stichococcus cylindricus,Marine,5,NA,15,0.33,-73.1,40.7,5.30E+00,NA,12,3.8,21.7,17.9
Moore et al. (1995),232,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus WH8103,Marine,13,35,28,0.8,-67.4,28.5,9.56E-01,22,24.6,21.3,28.4,7
Fiala & Oriol (1990),233,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra,Synedra sp.,Marine,NA,8,5,0.39,62,-58,4.71E+04,NA,0.8,-1.2,2.5,3.6
Maddux & Jones (1964),234,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,Tetraselmis sp.,Marine,NA,NA,22.5,0.34,-64.5,32.2,2.57E+03,NA,22.9,19.3,27.4,8.1
Hulburt (1982),235,Bacillariophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides,Marine,12.5,34,24,1.77,-54,6,4.24E+02,21.5,27.5,26.4,28.2,1.7
Baars (1981),236,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Suzuki and Takahashi (1995),237,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Durbin (1974),238,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii clone TN-2,Marine,NA,15,10,1.24,-71.3,41.6,2.57E+03,NA,12.5,4.9,21.5,16.5
Guillard & Ryther (1962),239,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana clone 5A,Marine,NA,NA,20,1.87,-72.8,40.8,9.13E+01,NA,12,3.8,21.7,17.9
Thompson et al. (1992),240,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana,Marine,NA,NA,25,2.39,-72.8,40.8,7.71E+01,NA,12,3.8,21.7,17.9
Boyd et al. (2013),241,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana strain CCMP1011,Marine,NA,32,25,1.12,64.8,17.8,9.13E+01,NA,27.2,25.1,29.5,4.4
Boyd et al. (2013),242,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana strain CCMP1012,Marine,NA,32,25,1.31,-115.8,-32,9.13E+01,NA,20.3,17.1,23.9,6.8
Boyd et al. (2013),243,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana strain CCMP1013,Marine,NA,NA,25,1.36,-3.8,53.3,9.13E+01,NA,10.9,7.3,14.4,7.1
Boyd et al. (2013),244,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana strain CCMP1014,Marine,NA,NA,25,1.35,155,28,9.13E+01,NA,24.4,20.2,28,7.9
Boyd et al. (2013),245,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana strain CCMP1015,Marine,NA,NA,25,1.37,123,48.5,9.13E+01,NA,12.3,3.5,22.5,18.9
Baars (1981),246,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Krawiec (1982),247,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula clone A8,Marine,0,30,25,1.29,-71.3,41.6,4.05E+04,30,12.5,4.9,21.5,16.5
Krawiec (1982),248,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula clone C8,Marine,2,NA,25,1.63,-115,27.5,4.05E+04,NA,18.4,16.2,21.6,5.4
Boyd et al. (2013),249,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula strain CCAP1085_21,Marine,NA,30,17,0.77,14.3,41,4.05E+04,NA,19.3,14.2,25.8,11.7
Boyd et al. (2013),250,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula strain CCMP1647,Marine,4,30,17,0.71,14.3,41,4.05E+04,26,19.3,14.2,25.8,11.7
Boyd et al. (2013),251,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula strain CCMP3264,Marine,NA,30,17,0.78,14.1,40.5,4.05E+04,NA,19.3,14.2,25.8,11.7
Boyd et al. (2013),252,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula strain GSO101,Marine,NA,30,17,0.72,-127.4,49.7,4.05E+04,NA,10.7,7.9,14.5,6.6
Boyd et al. (2013),253,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula strain JPNTR18,Marine,NA,30,17,0.68,133.3,34.2,4.05E+04,NA,23.3,19.1,28.4,9.3
Boyd et al. (2013),254,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula strain p17f4,Marine,NA,NA,17,0.92,-127.4,49.7,4.05E+04,NA,10.7,7.9,14.5,6.6
Boyd et al. (2013),255,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira weissflogii,Marine,5,NA,20,0.67,-9.3,39.5,6.15E+02,NA,16.4,13.8,19.2,5.4
Butterwick et al. (2005),256,Xanthophyte,Xanthophyceae,Tribonematales,Tribonemataceae,Tribonema,Tribonema sp.,Freshwater,NA,30,14,0.38,-1.2,51.8,2.00E+02,NA,11.8,7.8,16.1,8.3
Breitbarth et al. (2007),257,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Trichodesmium,Trichodesmium erythraeum,Marine,18.5,36,27,0.25,-76,35,2.07E+02,17.5,21.5,20.7,27.1,6.3
Chappell & Webb (2010),258,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Trichodesmium,"Trichodesmium erythraeum strain IMS101, CCMP 1985",Marine,NA,NA,28,0.77,-76,35,2.07E+02,NA,24.5,15.8,28.4,12.6
Chappell & Webb (2010),259,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Trichodesmium,Trichodesmium erythraeum strain GBRTRLI101,Marine,NA,NA,28,0.59,145.6,-16.4,2.07E+02,NA,26.5,24.7,29,4.3
Boyd et al. (2013),260,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Trichodesmium,Trichodesmium erythraeum 2175,Marine,18,35,24,0.26,-49.3,7.5,2.07E+02,17,27.5,26.6,28.5,2
Boyd et al. (2013),261,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Trichodesmium,Trichodesmium erythraeum KO4_20,Marine,NA,35,28,0.29,-49.3,7.5,2.07E+02,NA,27.5,26.6,28.5,2
Boyd et al. (2013),262,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Trichodesmium,Trichodesmium erythraeum RL1,Marine,NA,35,26,0.3,155,-15.1,2.07E+02,NA,27.2,25.3,29,3.6
Chappell & Webb (2010),263,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Trichodesmium,Trichodesmium radians strain H94,Marine,NA,NA,26,0.36,-158,22.8,2.07E+02,NA,24.8,23.5,26.4,2.9
Butterwick et al. (2005),264,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Tychonema,Tychonema bourrellyi,Freshwater,2,35,17,0.74,-3,54.4,3.81E+02,33,9.4,6,13.5,7.5
Renaud et al. (2002),265,Haptophyta,Coccolithophyceae,,,,Unidentified prymnesiophyte strain NT19,Marine,NA,35,27,0.56,130.8,-12.5,2.20E+01,NA,28.6,26.5,30.5,4
Suzuki & Takahashi (1995),266,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia frigida,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Soares et al. (2013),267,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,Cylindrospermopsis raciborskii LETC,Freshwater,12,NA,32,0.71,-44.8,-22.5,7.07E+02,NA,23.4,21.5,25.7,4.1
Mehnert et al. (2010),268,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon aphanizomenoides,Freshwater,10,40,27,0.35,13.1,52.4,NA,30,8.6,1.7,17.6,15.9
Mehnert et al. (2010),269,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermopsis,Cylindrospermopsis raciborskii,Freshwater,10,40,27,0.33,12.9,52.9,7.07E+02,30,8.6,1.7,17.6,15.9
Mehnert et al. (2010),270,Cyanobacteria,Cyanophyceae,Nostocales ,Nostocaceae,Anabaena,Anabaena bergii,Freshwater,10,40,25,0.26,13.2,53.5,6.00E+01,30,8.6,1.7,17.6,15.9
Mehnert et al. (2010),271,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon gracile,Freshwater,NA,35,27,0.29,14.1,52.2,6.15E+02,NA,8.6,1.7,17.6,15.9
Mehnert et al. (2010),272,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon flosaquae,Freshwater,NA,32,25,0.27,13,53.2,8.37E+02,NA,8.6,1.7,17.6,15.9
Mehnert et al. (2010),273,Cyanobacteria,Cyanophyceae,Nostocales ,Nostocaceae,Anabaena,Anabaena macrospora,Freshwater,NA,35,25,0.19,13,53.2,6.50E+01,NA,8.6,1.7,17.6,15.9
Mehnert et al. (2010),274,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon ovalisporum,Freshwater,10,40,35,0.35,-3.6,40.5,1.67E+02,30,16,12.4,21.3,8.9
Tang et al. (1997),275,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium E2,Freshwater,5,35,15,0.22,-94,74,4.00E+03,30,-1.1,-2.1,0.6,2.7
Tang et al. (1997),276,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium E5,Freshwater,5,35,15,0.17,-94,74,4.00E+03,30,-1.1,-2.1,0.7,2.8
Tang et al. (1997),277,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium E6a,Freshwater,NA,30,15,0.18,-94,74,4.00E+03,NA,-1.1,-2.1,0.6,2.7
Tang et al. (1997),278,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium E7,Freshwater,5,35,15,0.22,-94,74,4.00E+03,30,-1.1,-2,0.6,2.6
Tang et al. (1997),279,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium E11a,Freshwater,5,35,15,0.17,-89.5,74.5,4.00E+03,30,-0.9,-1.9,1.2,3.1
Tang et al. (1997),280,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium E11b,Freshwater,NA,30,15,0.18,-89.5,74.5,4.00E+03,NA,-0.9,-1.9,1.2,3.1
Tang et al. (1997),281,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium E12,Freshwater,NA,35,25,0.25,-89.5,74.5,4.00E+03,NA,-0.9,-1.9,1.2,3.1
Tang et al. (1997),282,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria E17,Freshwater,NA,35,15,0.23,-94,74,3.50E+01,NA,-1.1,-2.1,0.7,2.8
Tang et al. (1997),283,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium E18,Freshwater,NA,35,25,0.39,-94,74,4.00E+03,NA,-1.1,-2,0.7,2.7
Tang et al. (1997),284,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O025,Freshwater,NA,30,15,0.22,166,-78,4.00E+03,NA,-1.2,-2.1,0.2,2.3
Tang et al. (1997),285,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O042,Freshwater,5,30,15,0.31,166,-78,4.00E+03,25,-1.2,-2.1,0.2,2.3
Tang et al. (1997),286,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O043,Freshwater,NA,35,25,0.23,166,-78,4.00E+03,NA,-1.2,-2.1,0.2,2.3
Tang et al. (1997),287,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O099,Freshwater,5,30,20,0.36,166,-78,4.00E+03,25,-1.2,-2.1,0.2,2.3
Tang et al. (1997),288,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O102,Freshwater,NA,30,20,0.22,-148,68,4.00E+03,NA,-1.1,-1.6,2.3,3.9
Tang et al. (1997),289,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O104,Freshwater,NA,35,20,0.3,-148,68,4.00E+03,NA,-0.6,-1.8,0.4,2.1
Tang et al. (1997),290,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O120,Freshwater,NA,NA,35,0.42,-148,68,4.00E+03,NA,-1.1,-1.8,2.3,4.1
Tang et al. (1997),291,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O152,Freshwater,10,35,20,0.15,-78,73,4.00E+03,25,-0.2,-2,2.9,4.9
Tang et al. (1997),292,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O154,Freshwater,NA,35,25,0.12,-78,73,4.00E+03,NA,-0.2,-2,2.9,4.9
Tang et al. (1997),293,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O157,Freshwater,5,25,15,0.15,-78,73,4.00E+03,20,-0.3,-2,2.9,4.9
Tang et al. (1997),294,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O160,Freshwater,NA,35,15,0.14,-78,73,4.00E+03,NA,-0.3,-2,2.9,4.9
Tang et al. (1997),295,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria O201,Freshwater,NA,35,10,0.19,-77,55,3.50E+01,NA,1.2,-1.7,5.2,6.9
Tang et al. (1997),296,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O202,Freshwater,5,30,25,0.31,-77,55,4.00E+03,25,1.9,-2.1,5.2,7.3
Tang et al. (1997),297,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O203,Freshwater,5,NA,15,0.25,-77,55,4.00E+03,NA,1.2,-1.7,5.2,6.9
Tang et al. (1997),298,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O204,Freshwater,NA,35,15,0.27,-74,56,4.00E+03,NA,1.2,-2.1,5.2,7.3
Tang et al. (1997),299,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O210,Freshwater,NA,30,15,0.27,-74,56,4.00E+03,NA,1.2,-2.1,5.2,7.3
Tang et al. (1997),300,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium O211,Freshwater,NA,30,15,0.37,-74,56,4.00E+03,NA,1.2,-2.1,5.2,7.3
Tang et al. (1997),301,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria O-salt,Freshwater,5,30,20,0.29,166,-78,3.50E+01,25,-1.2,-2.1,0.2,2.3
Tsuijimura & Okubo (2003),302,Cyanobacteria,Cyanophyceae,Nostocales ,Nostocaceae,Anabaena,Anabaena ucrainica,Freshwater,5,NA,26,0.78,136,35.5,6.50E+01,NA,17.8,11,26.4,15.4
Tsujimura et al. (2001),303,Cyanobacteria,Cyanophyceae,Nostocales ,Nostocaceae,Aphanizomenon,Aphanizomenon flosaquae strain LBRI 57,Freshwater,8,NA,23,0.92,136.2,35.3,8.37E+02,NA,17.8,11,26.4,15.4
Seki et al. (1981),304,Cyanobacteria,Cyanophyceae,Nostocales ,Nostocaceae,Anabaena,Anabaena spiroides Klebahn var. crassa Lemm.,Freshwater,NA,39,24,0.51,140.4,36,8.37E+02,NA,18.6,13.2,24.6,11.5
Throndsen (1976),305,Silicoflagellate,Dictyochophyceae,Pedinellales,Pedinellaceae,Apedinella,Apedinella radians,Marine,NA,NA,20,1.19,5.2,60.3,6.50E+01,NA,9.4,5.5,14.7,9.1
Hulburt (1982),306,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,Marine,NA,34.5,31,1.64,-54,6,4.44E+03,NA,27.4,26.7,28,1.3
Karentz & Smayda (1984) from Teng (unpubl.),307,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,Marine,NA,30,25,1.99,-71.3,41.6,4.44E+03,NA,12.5,4.9,21.5,16.5
Meier et al. (2004),308,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Calciodinellum,Calciodinellum albatrosianum Geob*26/5,Marine,NA,NA,28.6,0.19,-58.3,12.3,1.26E+02,NA,27.5,26.4,28.6,2.2
Fiala & Oriol (1990),309,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros deflandrei,Marine,NA,16,5,0.61,62,-58,NA,NA,0.4,-1.2,2.8,3.9
Jacques (1983),310,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros deflandrei,Marine,NA,15,7,0.45,62,-58,NA,NA,0.8,-0.7,2.8,3.5
Hulburt (1982),311,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros didymus,Marine,11,34,21,1.44,-54,6,2.20E+03,23,27.4,26.4,28.2,1.7
Hulburt (1982),312,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros lorenzianus clone Bermuda,Marine,11,36,30,2.22,-64.7,32.3,1.27E+04,25,22.9,19.3,27.4,8.1
Hulburt (1982),313,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros lorenzianus clone Bushehr,Marine,11,37,21,1.39,50.8,28.9,1.27E+04,26,26.2,19.1,32.5,13.4
Hulburt (1982),314,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros lorenzianus clone Slope water,Marine,8.5,36,27,1.73,-73.4,38.4,1.27E+04,27.5,15.8,8.4,24.4,15.9
Baek et al. (2008),315,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Neoceratium fusus,Marine,10,32,26,0.53,139.4,35.2,4.91E+04,22,21.5,16.9,26.6,9.7
Miller & Kamykowski (1986),316,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia americana,Marine,NA,NA,25,2.77,-77.9,34,1.80E+01,NA,24.8,20.9,28.5,7.5
Hulburt (1982),317,Bacillariophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera,Marine,1,20.3,9,0.55,-70.3,41.9,7.55E+02,19.3,8.9,2.4,16.8,14.5
Hulburt (1982),318,Bacillariophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides,Marine,NA,27.5,20.3,1.28,-70.3,41.9,4.24E+02,NA,8.9,2.4,16.8,14.5
Mackey et al. (2013),319,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus CCMP837,Marine,NA,NA,18,0.56,-67.5,33.7,2.70E-01,NA,22.9,19.2,27.2,8
Mackey et al. (2013),320,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus CCMP1183,Marine,15,NA,24,0.91,134.5,7.5,2.70E-01,NA,28.8,27.8,29.3,1.5
Mackey et al. (2013),321,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus CCMP1379,Marine,NA,NA,27,1.36,-148.7,-14.9,2.70E-01,NA,28,26.9,28.9,2.1
Mackey et al. (2013),322,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus CCMP1630,Marine,NA,NA,27,1.23,13.9,40.8,2.70E-01,NA,19.3,14.2,25.8,11.7
Mackey et al. (2013),323,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus CCMP1632,Marine,15,27,21,0.91,118.7,36.8,2.70E-01,12,15.1,5.7,25.1,19.4
Mackey et al. (2013),324,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus WH8102,Marine,15,27,21,0.49,-65.6,22.5,2.70E-01,12,26.7,24.8,28.6,3.8
Mackey et al. (2013),325,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus CCMP2606,Marine,NA,NA,27,0.99,72.6,15.3,2.70E-01,NA,28.4,27.8,30.1,2.3
Mackey et al. (2013),326,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus PCC7002,Marine,NA,NA,27,1.01,-67,18,2.70E-01,NA,27.6,26.1,28.8,2.7
Stamenkovic and Hanelt (2013),327,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium crenatum,Freshwater,NA,37,21,0.27,50.1,80,9.38E+03,NA,-0.8,-2,1.2,3.1
Stamenkovic and Hanelt (2013),328,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium punctulatum #571,Freshwater,NA,37,25,0.31,25.8,71.1,1.14E+04,NA,6.8,4.9,10.1,5.2
Stamenkovic and Hanelt (2013),329,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium regnesii,Freshwater,NA,NA,25,0.59,140.8,42.9,5.19E+02,NA,12.2,5.5,21.8,16.3
Stamenkovic and Hanelt (2013),330,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium meneghinii,Freshwater,NA,NA,21,0.52,14.4,50.1,1.15E+03,NA,8.6,1.7,17.6,15.9
Stamenkovic and Hanelt (2013),331,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium punctulatum #570,Freshwater,NA,37,25,0.46,-78.4,-0.7,8.09E+03,NA,26.2,25.7,26.9,1.2
Stamenkovic and Hanelt (2013),332,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium beatum,Freshwater,NA,37,28,0.33,36.4,-0.2,9.80E+03,NA,27.1,25.2,28.9,3.7
Yamaguchi et al. (2010),333,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella ovata CO2,Marine,10,35,30,0.85,132.4,34.4,5.43E+04,25,18.4,12.2,26.2,14
Yamaguchi et al. (2010),334,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella ovata CO3,Marine,10,35,25,0.82,132.4,34.4,5.43E+04,25,18.4,12.2,26.2,14
Yamaguchi et al. (2010),335,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella ovata CO8,Marine,10,35,30,0.96,132.4,34.4,5.43E+04,25,18.4,12.2,26.2,14
Yamaguchi et al. (2012),336,Dinoflagellata,Dinophyceae,Peridiniales,Ostreopsidaceae,Ostreopsis,Ostreopsis cf. ovata,Marine,15,35,25,0.69,133.8,33.5,2.25E+04,20,23.3,19.1,28.4,9.3
Yamaguchi et al. (1997),337,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa circularisquama,Marine,10,NA,30,0.9,137,34.7,7.24E+03,NA,21.8,17.2,27.5,10.3
Yamaguchi et al. (1997),338,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa triquetra,Marine,NA,30,15,0.59,132.5,34.4,1.70E+03,NA,18.4,12.2,26.2,14
Yamaguchi et al. (1997),339,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella verruculosa,Marine,NA,30,15,1.14,132.5,34.4,4.85E+03,NA,18.4,12.2,26.2,14
